50,88,3,7,2,2,25,4.3
34,105,8,4,3,2,17,5.5
57,95,7,3,2,2,27,6.1
58,130,3,7,3,2,26,7.8
25,85,2,6,2,2,12,4.8
59,100,3,7,3,2,29,6.4
60,92,8,4,2,2,30,5.2
61,110,6,2,3,2,27,7.2
62,88,3,7,2,2,8,5.6
63,120,2,6,3,2,31,8.1
64,105,7,3,3,2,7,7.4
65,95,3,7,2,2,27,6.3
66,82,8,4,2,2,16,4.5
67,90,6,3,3,2,16,5.1
68,90,8,7,3,2,4,4.5
69,105,2,3,3,2,32,5.8
70,80,6,7,2,2,4,3.9
71,95,4,3,3,2,33,4.2
72,110,7,7,3,2,34,5.1
73,85,3,3,2,2,35,4.3
74,120,8,7,3,2,27,6.2
75,100,6,7,3,2,8,4.8
76,130,2,3,4,3,36,6.5
77,75,7,7,2,2,4,3.6
78,95,6,7,3,2,37,4.5
79,110,8,7,3,2,38,5.8
80,120,3,3,3,2,39,6.2
81,75,7,7,2,2,4,3.2
69,150,2,3,4,3,32,8.3
82,130,6,7,3,2,35,6.9
83,180,8,7,4,3,10,9.6
75,90,4,3,3,2,8,4.8
84,105,3,3,3,2,27,5.3
