@relation HouseData

@attribute location numeric
@attribute size numeric
@attribute houseDirection numeric
@attribute balconyDirection numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute investor numeric
@attribute price numeric

@data
99,90,9,9,2,2,2,4.1
100,130,3,1,3,2,39,6.3
101,88,5,1,2,2,2,4.3
102,135,3,1,4,3,40,7.5
103,70,9,9,2,2,30,3.2
104,100,5,1,3,2,14,5.1
105,95,1,1,3,2,2,5.2
106,140,6,9,4,3,34,7.2
107,75,5,1,2,2,41,3.5
108,125,6,9,3,2,42,6.7
109,95,1,1,3,2,43,4.8
110,105,9,9,3,2,44,5.3
111,78.089996,7,3,2,2,2,6.5
111,55,8,8,1,1,2,4.9
112,124,8,8,4,4,45,11.99
112,57,6,5,1,1,45,4.4
113,198.5,5,6,4,2,46,8.45
111,50,3,7,1,1,2,5.5
114,50,8,8,2,1,1,1.55
112,57.099998,5,6,1,1,45,4.44
115,125,7,3,3,3,47,8.3
111,120,8,8,3,2,2,13.2
111,80,8,8,2,2,2,7.25
116,96,8,8,3,2,48,6.5
117,109,11,10,3,2,49,7.8
118,123,8,6,3,2,50,4.4
117,83,11,10,2,2,49,5.6
118,145,5,6,3,2,50,5.8
119,94.919998,8,3,2,2,51,8.85
120,94,10,6,3,2,52,4.15
121,95.599998,8,8,2,2,53,8.3
118,123,8,8,2,2,50,5.1
118,114,5,6,3,2,50,6
120,80,8,8,2,2,52,3.8
25,101,11,1,3,2,54,7
122,100,3,1,2,2,33,5
123,105,6,9,3,2,30,5.3
124,85,5,1,2,2,3,4.3
125,95,7,9,3,2,31,4.5
126,110,1,1,3,2,32,5.5
127,100,9,9,3,2,3,4.8
128,125,3,1,3,2,39,6.3
129,110,5,1,3,2,7,5.3
130,140,6,9,3,2,34,6.7
131,95,1,1,2,2,3,4.6
132,115,3,1,3,2,55,6.1
133,85,5,1,2,2,41,4.1
134,120,6,9,3,2,42,6.1
135,100,1,1,3,2,43,5.1
136,105,9,9,3,2,44,5.3
137,85,5,1,2,2,3,4.2
138,130,3,1,3,2,40,7
139,70,9,9,2,2,30,3.2
140,105,5,1,3,2,14,5
141,100,1,1,3,2,2,5.1
122,95,6,9,2,2,33,4.8
123,120,6,9,3,2,30,6
124,75,5,1,2,2,3,4
125,90,7,9,2,2,31,4
126,130,1,1,3,2,32,5.5
24,85,3,1,2,2,3,3.5
142,110,9,9,3,2,9,4.8
25,95,5,1,2,2,11,4.2
143,80,1,1,2,2,17,2.8
28,100,9,9,3,2,4,3.9
35,120,3,1,3,2,3,5.6
144,90,5,1,3,2,2,4.3
61,125,6,9,3,2,3,7.2
145,75,3,1,2,2,56,5
146,95,1,1,2,2,39,6.4
147,85,5,1,2,2,3,4.7
29,100,9,9,3,2,14,4.5
22,110,3,1,3,2,9,5.2
148,85,7,9,2,2,2,3.2
149,95,1,1,2,2,57,4.6
150,100,9,9,3,2,58,4
151,90,3,1,2,2,59,3.9
152,120,6,9,3,2,3,6.8
153,85,5,1,2,2,60,3.5
154,95,1,1,3,2,3,4.5
155,110,6,9,3,2,30,5.9
156,75,3,1,2,2,61,4.2
157,85,7,9,2,2,62,3.8
158,100,1,1,3,2,63,4.3
159,120,9,9,3,2,2,5.6
160,95,3,1,2,2,3,4.7
161,100,9,9,3,2,4,4
162,90,5,1,2,2,57,4.5
163,105,6,9,3,2,58,4.2
164,110,1,1,3,2,3,5
165,85,3,1,2,2,60,3.5
154,95,1,1,3,2,3,4.5
155,110,6,9,3,2,30,5.9
156,75,3,1,2,2,61,4.2
157,85,7,9,2,2,62,3.8
158,100,1,1,3,2,63,4.3
159,120,9,9,3,2,2,5.6
24,85,3,1,2,2,3,3.5
142,110,9,9,3,2,9,4.8
25,95,5,1,2,2,11,4.2
143,80,1,1,2,2,17,2.8
28,100,9,9,3,2,4,3.9
35,120,3,1,3,2,3,5.6
144,90,5,1,3,2,2,4.3
61,125,6,9,3,2,3,7.2
145,75,3,1,2,2,56,5
146,95,1,1,2,2,39,6.4
